zakazka_id,produkt_id,planovane_mnozstvi,datum_zahajeni,datum_ukonceni,stredisko_id,naklady_material,naklady_prace,naklady_rezie,celkove_naklady,stav,vyuziti_kapacity,zmetky
VZ004407,PRD0286,97,2023-12-29,2024-01-03,STR031,214888.99,50032.81,57557.6,322479.4,Dokončeno,0.905,1
VZ004408,PRD0139,3517,2024-09-20,2024-10-24,STR041,398067.42,264173.83,149503.24,811744.49,Zrušeno,0.979,30
VZ004409,PRD0245,2987,2024-01-14,2024-01-21,STR041,392603.89,225505.57,132967.84,751077.3,Plánováno,1.049,148
VZ004410,PRD0291,1470,2024-05-16,2024-05-28,STR031,426555.34,184309.12,85498.7,696363.16,Plánováno,0.964,15
VZ004411,PRD0074,1367,2024-11-14,2024-12-07,STR041,136268.68,54904.72,14579.0,205752.4,Dokončeno,0.953,49
VZ004412,PRD0082,3921,2023-12-16,2024-01-26,STR021,277322.55,147928.13,28044.29,453294.97,Dokončeno,0.941,78
VZ004413,PRD0202,3737,2023-02-03,2023-02-04,STR041,418421.9,171862.67,85271.21,675555.78,Zrušeno,0.897,72
VZ004414,PRD0151,2784,2024-05-21,2024-06-18,STR021,58748.85,22881.58,17311.17,98941.6,Zrušeno,0.981,33
VZ004415,PRD0206,4972,2024-03-07,2024-03-29,STR011,484068.73,243532.68,97866.59,825468.0,Plánováno,0.869,4
VZ004416,PRD0293,570,2024-07-23,2024-08-31,STR041,68226.22,42301.82,7567.27,118095.31,Dokončeno,1.004,16
VZ004417,PRD0233,3183,2024-06-27,2024-08-07,STR011,166707.55,55151.4,25481.31,247340.26,Zrušeno,0.889,20
VZ004418,PRD0034,3315,2023-04-27,2023-05-27,STR021,15814.93,5442.27,1931.15,23188.35,Pozastaveno,1.039,163
VZ004419,PRD0079,4200,2024-04-24,2024-05-09,STR011,303828.78,179100.72,95460.55,578390.05,V výrobě,0.929,36
VZ004420,PRD0207,15,2025-05-15,2025-06-09,STR001,74656.78,44668.87,25859.37,145185.02,V výrobě,0.977,0
VZ004421,PRD0166,1393,2023-06-15,2023-07-04,STR041,212062.28,54750.02,14937.02,281749.32,V výrobě,0.876,43
VZ004422,PRD0154,1232,2024-04-17,2024-05-19,STR001,45749.97,16725.69,3183.48,65659.14,Dokončeno,0.899,34
VZ004423,PRD0199,3291,2023-08-24,2023-09-29,STR021,31109.11,17904.09,7732.0,56745.2,V výrobě,0.999,73
VZ004424,PRD0276,3147,2024-12-25,2024-12-27,STR001,479696.26,108232.75,118714.74,706643.75,Dokončeno,0.989,65
VZ004425,PRD0062,2683,2024-12-10,2024-12-24,STR021,197078.1,117774.34,74832.06,389684.5,Zrušeno,0.96,66
VZ004426,PRD0102,4109,2024-12-16,2025-01-18,STR021,127823.47,84276.42,45275.11,257375.0,Dokončeno,0.913,18
VZ004427,PRD0166,1056,2023-11-17,2023-12-04,STR031,454036.97,309279.56,85460.38,848776.91,V výrobě,0.95,48
VZ004428,PRD0126,1146,2025-04-04,2025-05-07,STR001,359301.09,159541.9,114952.31,633795.3,Dokončeno,0.941,13
VZ004429,PRD0228,170,2025-01-31,2025-02-08,STR021,324081.68,142491.82,106920.12,573493.62,Plánováno,0.862,4
VZ004430,PRD0136,4678,2025-05-03,2025-05-19,STR031,434887.35,98955.09,125544.65,659387.09,Pozastaveno,0.93,218
VZ004431,PRD0179,3116,2025-03-19,2025-04-18,STR021,160632.25,32191.25,39935.93,232759.43,Zrušeno,0.89,82
VZ004432,PRD0291,3599,2024-10-19,2024-10-23,STR041,393699.08,142286.43,103991.92,639977.43,Dokončeno,1.031,81
VZ004433,PRD0202,572,2023-09-25,2023-11-08,STR001,260450.77,147619.75,94469.6,502540.12,Pozastaveno,0.878,21
VZ004434,PRD0005,4474,2023-01-10,2023-02-18,STR001,295680.02,91202.03,53121.43,440003.48,Dokončeno,0.888,179
VZ004435,PRD0050,1189,2023-05-25,2023-06-23,STR021,127347.55,34254.33,24510.58,186112.46,V výrobě,1.019,24
VZ004436,PRD0255,865,2024-06-14,2024-07-24,STR031,159790.3,86544.8,56349.33,302684.43,Zrušeno,0.996,5
VZ004437,PRD0184,4016,2024-08-29,2024-09-06,STR031,464956.01,219818.26,160196.74,844971.01,Dokončeno,0.942,20
VZ004438,PRD0166,3739,2024-03-16,2024-04-14,STR001,35134.92,19490.76,6389.51,61015.19,Zrušeno,0.882,108
VZ004439,PRD0007,4124,2024-05-14,2024-05-27,STR011,225237.07,152600.5,39434.57,417272.14,Plánováno,0.964,185
VZ004440,PRD0245,784,2023-12-07,2023-12-18,STR041,449084.24,133740.59,56006.19,638831.02,V výrobě,0.916,12
VZ004441,PRD0017,3743,2023-09-28,2023-10-05,STR031,282560.72,165443.17,76075.12,524079.01,Pozastaveno,0.932,23
VZ004442,PRD0019,2113,2025-04-09,2025-05-06,STR021,80651.42,59468.86,10040.09,150160.37,Dokončeno,0.923,105
VZ004443,PRD0228,3718,2023-09-01,2023-10-13,STR011,350754.17,71378.77,67542.98,489675.92,Dokončeno,0.897,114
VZ004444,PRD0244,256,2024-09-30,2024-10-08,STR041,297580.51,187341.18,32259.08,517180.77,V výrobě,0.945,4
VZ004445,PRD0158,2300,2024-06-17,2024-07-16,STR011,311673.14,218282.75,53964.46,583920.35,V výrobě,1.036,15
VZ004446,PRD0269,2557,2024-02-01,2024-02-21,STR031,222719.56,125513.79,25076.21,373309.56,Dokončeno,0.925,55
VZ004447,PRD0135,3580,2023-08-09,2023-09-08,STR021,249172.69,102419.08,34385.84,385977.61,Dokončeno,1.046,175
VZ004448,PRD0198,2092,2024-05-05,2024-06-11,STR011,424223.22,210305.44,92727.72,727256.38,Plánováno,0.961,39
VZ004449,PRD0241,3022,2025-02-08,2025-02-13,STR001,246654.39,83729.14,20021.06,350404.59,Dokončeno,0.917,77
VZ004450,PRD0049,591,2023-09-23,2023-09-27,STR021,140945.53,86011.78,44077.69,271035.0,Dokončeno,0.982,26
VZ004451,PRD0055,4428,2024-04-07,2024-05-06,STR011,355864.41,257094.39,142392.84,755351.64,Pozastaveno,0.946,37
VZ004452,PRD0229,2600,2023-02-07,2023-02-15,STR021,108804.83,50985.06,28751.63,188541.52,Pozastaveno,0.942,115
VZ004453,PRD0065,2256,2023-09-27,2023-11-02,STR031,346349.95,121703.84,76249.16,544302.95,Plánováno,0.939,38
VZ004454,PRD0068,4742,2025-05-01,2025-05-29,STR021,460324.38,170856.88,100661.62,731842.88,Dokončeno,1.03,9
VZ004455,PRD0204,1115,2024-10-17,2024-10-28,STR041,135835.51,77325.23,52409.76,265570.5,Zrušeno,0.851,31
VZ004456,PRD0258,78,2023-02-15,2023-03-13,STR021,458908.98,336441.91,168542.72,963893.61,Dokončeno,0.865,2
VZ004457,PRD0276,3525,2023-10-22,2023-11-29,STR021,29658.93,16953.85,3575.01,50187.79,Dokončeno,0.87,45
VZ004458,PRD0007,3449,2023-07-23,2023-08-02,STR031,414795.8,137655.45,42445.11,594896.36,Pozastaveno,0.885,135
VZ004459,PRD0272,4187,2023-10-23,2023-11-23,STR021,98793.59,22713.88,9985.52,131492.99,Plánováno,1.008,106
VZ004460,PRD0295,3432,2024-04-09,2024-04-21,STR031,368579.89,210853.92,54816.65,634250.46,V výrobě,0.955,91
VZ004461,PRD0089,1362,2024-02-15,2024-02-25,STR011,65188.48,33681.43,12175.15,111045.06,Dokončeno,0.965,2
VZ004462,PRD0258,148,2023-10-21,2023-11-08,STR001,414171.15,191064.95,49511.57,654747.67,Pozastaveno,1.015,2
VZ004463,PRD0224,1067,2024-09-18,2024-09-26,STR041,469472.29,110715.05,138323.52,718510.86,V výrobě,1.021,38
VZ004464,PRD0147,644,2025-01-10,2025-01-16,STR031,388641.25,272561.6,136593.77,797796.62,Dokončeno,0.981,25
VZ004465,PRD0148,3127,2023-03-08,2023-03-27,STR041,265591.27,142960.88,48800.49,457352.64,Dokončeno,0.95,50
VZ004466,PRD0209,643,2023-12-26,2024-01-28,STR021,119186.31,73642.32,21569.95,214398.58,Dokončeno,0.899,32
VZ004467,PRD0133,2465,2024-06-07,2024-07-01,STR001,109076.54,52540.82,26176.74,187794.1,V výrobě,0.935,57
VZ004468,PRD0252,804,2024-07-29,2024-09-03,STR041,16838.56,11808.77,5063.64,33710.97,Dokončeno,1.014,36
VZ004469,PRD0179,2641,2023-08-18,2023-09-12,STR001,377338.68,297040.11,98544.18,772922.97,Dokončeno,0.852,113
VZ004470,PRD0234,67,2023-12-27,2024-01-24,STR001,460757.01,104778.47,44038.91,609574.39,Plánováno,0.891,1
VZ004471,PRD0286,182,2023-07-02,2023-07-12,STR021,423063.59,279098.31,156570.36,858732.26,Dokončeno,0.924,0
VZ004472,PRD0019,1584,2025-02-04,2025-02-11,STR011,262623.11,178807.91,79082.79,520513.81,Dokončeno,0.909,30
VZ004473,PRD0255,2754,2023-10-29,2023-12-06,STR011,45849.04,29434.79,18538.67,93822.5,Dokončeno,1.033,84
VZ004474,PRD0198,1310,2024-06-30,2024-08-02,STR011,268914.42,127465.88,25572.52,421952.82,Dokončeno,1.008,41
VZ004475,PRD0124,1106,2024-05-11,2024-05-31,STR031,8051.69,3265.23,1051.17,12368.09,Dokončeno,0.864,14
VZ004476,PRD0293,1172,2023-03-14,2023-03-18,STR011,158554.87,54296.39,33907.72,246758.98,Dokončeno,1.026,15
VZ004477,PRD0007,2935,2023-03-19,2023-04-06,STR011,478821.56,314599.59,146815.46,940236.61,V výrobě,0.903,20
VZ004478,PRD0067,4667,2025-06-19,2025-08-01,STR011,397294.13,278744.47,145831.78,821870.38,Pozastaveno,0.934,113
VZ004479,PRD0255,2988,2023-11-16,2023-12-18,STR031,292976.25,165444.09,105487.4,563907.74,Zrušeno,0.927,47
VZ004480,PRD0009,1550,2024-08-18,2024-09-11,STR041,254756.91,191394.77,63242.83,509394.51,Pozastaveno,0.966,57
VZ004481,PRD0038,1500,2024-06-15,2024-06-28,STR001,385172.32,232323.84,59777.63,677273.79,Dokončeno,0.937,65
VZ004482,PRD0110,2777,2025-02-27,2025-03-20,STR041,459625.3,168614.34,33544.12,661783.76,Dokončeno,1.01,50
VZ004483,PRD0034,3775,2025-04-13,2025-04-21,STR001,487358.21,340320.13,64714.05,892392.39,Pozastaveno,0.918,20
VZ004484,PRD0151,2557,2023-01-31,2023-02-04,STR041,292360.2,148974.33,27023.16,468357.69,Dokončeno,0.913,7
VZ004485,PRD0220,2658,2023-01-23,2023-02-18,STR041,29035.93,13675.68,9624.89,52336.5,Dokončeno,0.919,121
VZ004486,PRD0155,508,2024-01-28,2024-02-26,STR001,3830.48,1954.38,775.41,6560.27,Pozastaveno,0.97,10
VZ004487,PRD0047,4306,2025-02-04,2025-03-13,STR041,469085.11,234811.92,123575.67,827472.7,V výrobě,0.952,215
VZ004488,PRD0276,1731,2024-12-22,2025-02-01,STR031,212324.14,86979.16,31093.49,330396.79,Pozastaveno,0.881,16
VZ004489,PRD0198,2785,2023-11-30,2024-01-04,STR011,243936.79,121198.8,56014.95,421150.54,Dokončeno,0.983,134
VZ004490,PRD0165,3169,2023-10-09,2023-10-29,STR031,443566.93,143470.6,87563.7,674601.23,Dokončeno,0.911,112
VZ004491,PRD0296,2051,2023-02-15,2023-03-18,STR021,260953.18,74057.03,82885.32,417895.53,Dokončeno,0.912,21
VZ004492,PRD0267,4309,2023-08-09,2023-08-21,STR001,285911.11,100431.4,20911.43,407253.94,V výrobě,0.862,159
VZ004493,PRD0205,2958,2024-10-22,2024-11-21,STR001,59329.45,37829.72,13921.25,111080.42,Pozastaveno,0.918,14
VZ004494,PRD0264,165,2025-06-12,2025-07-18,STR021,494776.33,215695.0,159689.69,870161.02,Dokončeno,0.862,3
VZ004495,PRD0297,3059,2023-12-28,2024-01-08,STR031,204690.31,89650.31,36290.24,330630.86,Dokončeno,0.935,137
VZ004496,PRD0127,3736,2023-10-09,2023-10-21,STR001,416578.19,324180.26,168512.08,909270.53,Dokončeno,0.956,3
VZ004497,PRD0205,1720,2025-03-08,2025-04-06,STR011,324769.86,84061.36,25970.7,434801.92,Pozastaveno,1.013,43
VZ004498,PRD0177,2095,2024-04-01,2024-04-18,STR001,78526.67,16392.92,8354.58,103274.17,V výrobě,1.015,64
VZ004499,PRD0112,784,2025-05-16,2025-05-28,STR041,58274.35,24136.05,8645.87,91056.27,V výrobě,0.893,33
VZ004500,PRD0043,2431,2024-01-30,2024-03-10,STR001,25864.0,14372.83,6931.37,47168.2,Dokončeno,0.921,3
VZ004501,PRD0208,646,2023-08-19,2023-09-09,STR001,421868.41,267700.85,150874.61,840443.87,Plánováno,0.96,28
VZ004502,PRD0212,4726,2025-05-30,2025-06-16,STR011,104205.8,30196.58,7200.36,141602.74,Dokončeno,0.98,33
VZ004503,PRD0110,3152,2025-01-02,2025-02-09,STR021,261737.13,114300.93,62682.95,438721.01,Pozastaveno,0.895,22
VZ004504,PRD0089,3434,2023-02-12,2023-03-20,STR011,96985.95,73550.53,40231.5,210767.98,Pozastaveno,1.049,102
VZ004505,PRD0221,4329,2023-04-24,2023-05-31,STR031,51816.86,33268.91,17897.72,102983.49,V výrobě,1.006,191
VZ004506,PRD0039,2380,2023-05-11,2023-05-31,STR031,301599.81,135324.96,34043.62,470968.39,V výrobě,1.021,36
VZ004507,PRD0017,2771,2024-08-17,2024-08-28,STR011,379226.79,202584.5,120833.64,702644.93,Plánováno,0.854,34
VZ004508,PRD0022,1247,2024-08-03,2024-08-09,STR021,35057.7,16213.83,4978.87,56250.4,Pozastaveno,1.006,8
VZ004509,PRD0212,3659,2024-12-16,2024-12-31,STR041,86848.49,36633.11,27717.62,151199.22,Dokončeno,1.001,74
VZ004510,PRD0135,2985,2024-03-08,2024-04-11,STR011,157824.83,92045.45,26641.92,276512.2,V výrobě,0.87,138
VZ004511,PRD0129,1232,2023-04-27,2023-06-05,STR041,430557.32,160510.55,67397.23,658465.1,Zrušeno,0.904,49
VZ004512,PRD0239,2696,2024-10-31,2024-11-06,STR041,275941.43,210879.27,91710.46,578531.16,Dokončeno,0.919,36
VZ004513,PRD0024,736,2025-01-07,2025-02-03,STR031,18203.48,11319.73,1572.9,31096.11,V výrobě,1.034,36
VZ004514,PRD0233,3972,2023-07-25,2023-08-22,STR001,358399.97,183465.73,110962.52,652828.22,Pozastaveno,0.897,148
VZ004515,PRD0284,3896,2024-03-08,2024-03-24,STR021,464179.15,365994.91,91510.87,921684.93,Zrušeno,0.912,174
VZ004516,PRD0201,2747,2023-08-24,2023-09-21,STR021,83185.85,34520.95,9438.44,127145.24,Dokončeno,0.91,103
VZ004517,PRD0202,220,2024-03-12,2024-04-18,STR001,379776.92,143129.11,84492.4,607398.43,Dokončeno,1.018,8
VZ004518,PRD0129,3997,2024-07-02,2024-07-13,STR041,179334.1,112988.44,35131.37,327453.91,Dokončeno,0.938,198
VZ004519,PRD0055,4065,2023-10-11,2023-11-19,STR011,223443.8,176791.15,90756.2,490991.15,V výrobě,0.854,36
VZ004520,PRD0096,2574,2025-02-23,2025-03-13,STR031,194049.91,117827.44,55388.1,367265.45,Dokončeno,0.9,28
VZ004521,PRD0244,1794,2025-03-27,2025-04-27,STR021,358133.48,210965.93,63870.58,632969.99,Plánováno,0.89,10
VZ004522,PRD0296,1267,2024-09-29,2024-10-03,STR021,358841.06,236520.13,48785.45,644146.64,V výrobě,0.933,32
VZ004523,PRD0065,2497,2024-07-21,2024-07-28,STR041,464253.69,199767.69,94320.57,758341.95,V výrobě,0.937,5
VZ004524,PRD0157,3486,2024-10-09,2024-10-31,STR021,50963.02,26652.3,5072.78,82688.1,Plánováno,1.035,140
VZ004525,PRD0135,330,2023-12-15,2024-01-05,STR001,187452.56,103422.02,46368.13,337242.71,V výrobě,0.92,16
VZ004526,PRD0173,2961,2023-07-07,2023-08-10,STR031,374552.73,278494.84,159557.7,812605.27,V výrobě,0.99,22
VZ004527,PRD0276,3213,2023-11-02,2023-11-13,STR041,254442.29,95060.96,86062.91,435566.16,Zrušeno,0.949,134
VZ004528,PRD0107,3036,2025-04-13,2025-05-25,STR021,240517.82,91010.54,18351.62,349879.98,Dokončeno,0.908,76
VZ004529,PRD0235,818,2023-11-17,2023-11-28,STR011,138969.71,67424.16,12459.95,218853.82,Dokončeno,0.884,29
VZ004530,PRD0295,1960,2025-06-12,2025-07-10,STR041,74583.41,24242.21,15274.53,114100.15,Plánováno,1.026,84
VZ004531,PRD0073,4973,2023-09-24,2023-10-28,STR001,430687.31,153767.52,74144.86,658599.69,Dokončeno,0.911,169
VZ004532,PRD0122,3687,2025-05-15,2025-06-26,STR011,421722.22,89269.64,46005.49,556997.35,Plánováno,0.935,27
VZ004533,PRD0079,4120,2024-08-22,2024-09-17,STR021,71999.9,42699.24,23845.12,138544.26,Zrušeno,0.967,9
VZ004534,PRD0099,2641,2023-03-30,2023-04-22,STR011,263296.15,124984.18,75354.65,463634.98,Dokončeno,0.986,84
VZ004535,PRD0150,335,2025-05-19,2025-06-23,STR001,488376.82,106507.13,66145.64,661029.59,Pozastaveno,0.861,7
VZ004536,PRD0275,2656,2023-12-17,2024-01-05,STR011,87814.28,69367.49,17994.14,175175.91,Dokončeno,0.943,102
VZ004537,PRD0229,1051,2025-04-23,2025-05-27,STR041,406344.78,180848.55,68464.57,655657.9,Zrušeno,1.018,22
VZ004538,PRD0224,1086,2023-04-21,2023-05-07,STR001,170895.42,97320.35,30681.21,298896.98,Dokončeno,0.867,20
VZ004539,PRD0224,4900,2024-03-29,2024-04-13,STR001,268019.81,180112.05,61928.15,510060.01,Pozastaveno,0.861,166
VZ004540,PRD0214,1509,2024-10-05,2024-11-05,STR011,252167.22,183120.33,100028.23,535315.78,V výrobě,0.889,0
VZ004541,PRD0248,4743,2024-02-21,2024-04-02,STR021,226325.02,140727.61,28717.03,395769.66,Pozastaveno,1.008,126
VZ004542,PRD0166,3644,2025-03-25,2025-04-24,STR011,347798.93,234040.21,94002.88,675842.02,Dokončeno,1.029,178
VZ004543,PRD0211,1260,2024-08-08,2024-09-22,STR021,437737.2,307439.52,98646.25,843822.97,Dokončeno,0.933,21
VZ004544,PRD0078,2562,2024-01-17,2024-02-16,STR021,120302.18,62534.85,21180.15,204017.18,V výrobě,1.041,39
VZ004545,PRD0194,3307,2024-05-19,2024-05-21,STR031,350465.81,269270.81,136212.15,755948.77,Zrušeno,0.918,101
VZ004546,PRD0252,4011,2025-05-04,2025-05-09,STR011,319634.49,122501.52,78376.75,520512.76,Dokončeno,0.944,46
VZ004547,PRD0116,938,2023-06-09,2023-07-10,STR021,39797.49,30849.45,9389.68,80036.62,V výrobě,0.914,5
VZ004548,PRD0272,4064,2025-04-04,2025-04-17,STR021,456272.19,290917.76,50221.71,797411.66,Dokončeno,0.945,109
VZ004549,PRD0013,913,2025-04-17,2025-05-27,STR041,294177.45,149650.78,46234.97,490063.2,Dokončeno,0.909,38
VZ004550,PRD0166,67,2025-05-20,2025-05-26,STR041,330669.91,232809.14,67095.01,630574.06,Dokončeno,0.991,3
VZ004551,PRD0031,372,2024-11-16,2024-11-30,STR041,385233.8,264851.4,115728.53,765813.73,Zrušeno,0.997,5
VZ004552,PRD0166,511,2023-11-13,2023-12-19,STR001,299620.69,94314.18,57725.4,451660.27,Plánováno,1.037,20
VZ004553,PRD0092,530,2024-08-08,2024-09-19,STR011,249527.63,118234.73,60017.91,427780.27,Zrušeno,1.027,23
VZ004554,PRD0107,4969,2025-04-18,2025-05-17,STR021,444424.11,245859.57,112830.97,803114.65,Plánováno,0.995,234
VZ004555,PRD0290,3226,2023-12-15,2024-01-24,STR001,109204.68,55208.27,34337.82,198750.77,Dokončeno,0.941,51
VZ004556,PRD0273,4864,2025-04-11,2025-05-19,STR041,494188.95,319541.36,70503.28,884233.59,V výrobě,0.884,209
VZ004557,PRD0296,3099,2023-08-19,2023-08-22,STR041,311791.99,130419.01,72767.07,514978.07,Zrušeno,1.019,53
VZ004558,PRD0293,1537,2024-12-20,2025-01-09,STR041,52373.72,33264.05,12863.56,98501.33,Pozastaveno,1.045,3
VZ004559,PRD0262,4402,2024-08-24,2024-09-06,STR001,32964.61,13285.14,10592.91,56842.66,Dokončeno,0.925,43
VZ004560,PRD0074,1213,2024-08-07,2024-08-19,STR011,305260.2,132001.02,32652.14,469913.36,Zrušeno,1.032,20
VZ004561,PRD0060,1600,2023-08-04,2023-08-25,STR001,353620.54,272988.45,152355.02,778964.01,Dokončeno,0.864,14
VZ004562,PRD0100,597,2023-08-26,2023-10-05,STR041,86416.52,46006.54,22259.17,154682.23,V výrobě,0.946,28
VZ004563,PRD0264,4129,2023-03-08,2023-03-23,STR041,181004.43,90728.8,34615.47,306348.7,Dokončeno,1.041,172
VZ004564,PRD0143,365,2024-10-07,2024-11-15,STR041,429321.42,147537.58,51089.84,627948.84,Plánováno,1.04,11
VZ004565,PRD0122,3913,2023-04-10,2023-04-29,STR031,206890.69,119285.77,53997.67,380174.13,Zrušeno,0.944,73
VZ004566,PRD0202,679,2023-11-24,2023-12-16,STR001,416485.03,274404.22,47087.5,737976.75,V výrobě,1.009,30
VZ004567,PRD0054,1151,2024-02-08,2024-02-27,STR041,332617.36,207295.86,57934.3,597847.52,Plánováno,0.889,3
VZ004568,PRD0054,2255,2024-11-21,2024-11-24,STR021,407843.98,290063.83,100906.17,798813.98,Dokončeno,0.913,60
VZ004569,PRD0181,888,2024-07-26,2024-08-11,STR001,160876.42,128054.88,27762.51,316693.81,Pozastaveno,0.882,19
VZ004570,PRD0165,2338,2024-10-05,2024-10-20,STR041,344816.91,189048.04,66000.96,599865.91,Zrušeno,0.944,23
VZ004571,PRD0208,46,2023-07-29,2023-09-10,STR001,294404.79,123903.14,59294.92,477602.85,Pozastaveno,0.914,2
VZ004572,PRD0205,3437,2024-01-02,2024-02-01,STR011,355453.33,202948.89,91853.49,650255.71,Pozastaveno,0.891,30
VZ004573,PRD0143,2742,2023-11-10,2023-11-28,STR021,226922.39,84744.23,29620.05,341286.67,Dokončeno,0.908,60
VZ004574,PRD0273,4729,2025-02-09,2025-02-11,STR031,11755.01,7281.67,4295.07,23331.75,Dokončeno,0.939,93
VZ004575,PRD0157,3682,2023-08-25,2023-09-11,STR041,21397.75,7179.76,3101.67,31679.18,Pozastaveno,0.951,109
VZ004576,PRD0063,2999,2024-08-04,2024-08-11,STR011,190732.18,95531.55,24244.33,310508.06,Dokončeno,1.014,23
VZ004577,PRD0251,4640,2024-02-17,2024-04-01,STR011,267136.15,120714.55,84686.5,472537.2,Pozastaveno,0.909,6
VZ004578,PRD0143,136,2024-04-02,2024-04-23,STR031,327779.27,130905.47,26152.5,484837.24,V výrobě,0.926,1
VZ004579,PRD0293,517,2025-02-09,2025-03-22,STR031,103314.78,61823.02,16299.03,181436.83,Dokončeno,0.921,7
VZ004580,PRD0127,3812,2025-02-08,2025-03-11,STR041,438708.21,97065.64,69730.45,605504.3,Zrušeno,1.044,144
VZ004581,PRD0218,1892,2024-03-04,2024-04-17,STR011,317098.22,228392.24,111034.51,656524.97,V výrobě,0.897,94
VZ004582,PRD0142,4983,2023-03-25,2023-04-29,STR021,68422.42,47574.92,11902.68,127900.02,Dokončeno,1.038,178
VZ004583,PRD0264,3892,2024-06-12,2024-07-22,STR021,207835.17,140560.4,33874.13,382269.7,Dokončeno,0.978,27
VZ004584,PRD0264,3847,2024-02-13,2024-03-02,STR011,265677.5,56775.67,57274.65,379727.82,Pozastaveno,0.933,26
VZ004585,PRD0164,372,2024-08-12,2024-09-07,STR021,374773.03,160789.3,52155.0,587717.33,Zrušeno,0.975,11
VZ004586,PRD0248,4602,2023-07-22,2023-08-19,STR021,495391.62,288038.68,45518.86,828949.16,Pozastaveno,0.998,158
VZ004587,PRD0130,2318,2023-09-08,2023-10-02,STR041,261443.51,112012.16,29444.05,402899.72,V výrobě,0.958,104
VZ004588,PRD0194,2615,2023-03-13,2023-04-16,STR031,148337.08,103339.75,54986.67,306663.5,Dokončeno,0.965,37
VZ004589,PRD0078,1849,2023-07-02,2023-07-20,STR031,425385.29,115022.34,101594.79,642002.42,V výrobě,0.961,24
VZ004590,PRD0184,761,2023-03-19,2023-03-21,STR021,378424.07,137372.17,57039.42,572835.66,Dokončeno,1.026,38
VZ004591,PRD0262,3274,2023-06-26,2023-06-30,STR001,491386.6,146983.85,82581.0,720951.45,Zrušeno,0.954,104
VZ004592,PRD0224,167,2023-12-11,2024-01-01,STR021,100832.74,71645.2,32327.73,204805.67,Zrušeno,0.869,8
VZ004593,PRD0082,3596,2023-02-14,2023-03-09,STR001,466011.14,175702.76,73707.53,715421.43,V výrobě,1.04,94
VZ004594,PRD0229,1889,2023-08-31,2023-09-18,STR021,450044.33,337298.19,42456.2,829798.72,Pozastaveno,1.041,52
VZ004595,PRD0206,1061,2023-03-27,2023-04-24,STR041,5714.87,1440.82,833.3,7988.99,Zrušeno,0.856,2
VZ004596,PRD0049,2080,2024-05-08,2024-05-24,STR021,454372.0,363326.42,58598.34,876296.76,Pozastaveno,0.974,51
VZ004597,PRD0239,2798,2025-02-04,2025-03-13,STR021,361388.84,251128.58,140389.43,752906.85,Dokončeno,0.866,42
VZ004598,PRD0177,2939,2024-06-10,2024-06-22,STR041,195949.69,56178.64,33037.16,285165.49,V výrobě,0.893,74
VZ004599,PRD0244,4805,2023-04-01,2023-04-13,STR021,387186.12,166237.93,59779.39,613203.44,Dokončeno,0.857,174
VZ004600,PRD0177,3273,2024-05-01,2024-05-19,STR021,204454.17,107227.92,38898.63,350580.72,Dokončeno,0.88,36
VZ004601,PRD0207,839,2023-10-01,2023-10-30,STR011,290598.01,127002.79,86053.9,503654.7,V výrobě,0.879,17
VZ004602,PRD0082,3886,2024-10-26,2024-11-09,STR001,31383.3,19250.96,3509.24,54143.5,Dokončeno,0.979,189
VZ004603,PRD0258,4076,2025-04-22,2025-05-24,STR031,328375.34,148343.23,35949.39,512667.96,Plánováno,0.977,51
VZ004604,PRD0244,4830,2023-02-26,2023-04-04,STR011,462659.92,363664.89,148827.43,975152.24,Dokončeno,0.97,101
VZ004605,PRD0258,520,2023-03-31,2023-04-30,STR021,483606.24,252080.64,71863.89,807550.77,Dokončeno,1.017,24
VZ004606,PRD0251,2215,2025-01-30,2025-02-08,STR031,239349.83,96562.87,19734.34,355647.04,Zrušeno,1.045,7
VZ004607,PRD0290,4438,2024-02-25,2024-04-03,STR021,384335.24,142530.15,106545.24,633410.63,V výrobě,0.944,167
VZ004608,PRD0260,4246,2025-06-05,2025-06-07,STR041,204285.99,112964.13,44084.9,361335.02,Pozastaveno,0.968,212
VZ004609,PRD0150,4315,2024-04-15,2024-05-02,STR001,22456.48,6476.89,4142.18,33075.55,Dokončeno,1.005,90
VZ004610,PRD0104,229,2024-09-03,2024-09-29,STR031,181022.36,89207.41,29882.63,300112.4,V výrobě,0.989,10
VZ004611,PRD0207,194,2023-03-03,2023-03-15,STR021,78803.72,58567.0,30311.5,167682.22,V výrobě,0.902,0
VZ004612,PRD0014,890,2024-10-02,2024-10-09,STR001,320635.31,86725.3,76101.85,483462.46,V výrobě,0.98,42
VZ004613,PRD0255,1323,2024-06-02,2024-07-13,STR041,326662.73,244988.48,29282.59,600933.8,Pozastaveno,0.946,7
VZ004614,PRD0081,2232,2023-02-02,2023-03-11,STR021,495659.82,199490.77,162679.0,857829.59,Dokončeno,0.858,20
VZ004615,PRD0277,2449,2023-09-09,2023-09-22,STR011,4905.95,2636.7,867.86,8410.51,V výrobě,1.011,79
VZ004616,PRD0084,3712,2023-06-19,2023-07-19,STR041,227507.2,162997.23,61359.74,451864.17,Dokončeno,0.871,86
VZ004617,PRD0201,1314,2024-02-17,2024-02-18,STR011,28755.4,18602.99,8401.02,55759.41,Dokončeno,0.959,16
